Abrev_Name,State,Region,Total_Population,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_J&J,Administered_Dose1,Administered_Dose1_Percentage,Administered_Dose2_Percentage,Administered_Dose1_18Plus,Administered_Dose1_18Plus_Pop_Percentage,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_65Plus,Administered_Dose1_65Plus_Pop_Percentage,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_J&J,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_J&J,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_J&J_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_J&J_65Plus,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Percentage,Series_Complete_65Plus,Series_Complete_65PlusPop_Percentage,12Plus_Population,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_12Plus,Administered_Dose1_12Plus_Pop_Percentage,Administered_Dose2_12Plus,Administered_Dose2_12Plus_Pop_Percentge,Series_Complete_12Plus,Series_Complete_12PlusPop_Percentage,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_J&J_12Plus,Count_70pct_vacc,Additional_Doses_Administered,Additional_Doses_Administered_Percentage,Additional_Doses_50Plus,Additional_Doses_50Plus_Percentage,Additional_Doses_18Plus,Additional_Doses_18Plus_Percentage,Additional_Doses_65Plus,Additional_Doses_65Plus_Percentage
AK,Alaska,West,731545,1125115,847207,153800,115811,323201,487694,35738,429352,58.7,47.5,397104,72,786594,142612,203987,80335,87.7,167744,183151,1228450,347683,320492,58.1,442560,610455,72100,144002,203351,33360,143612,176558,33223,41367,30260,3175,52.1,353458,64.1,74830,81.7,608877,844965,138774,184785,428000,70.3,346816,57,379914,62.4,143998,202488,33358,,37109,9.7,26282,15.6,36947,10.4,15901,21.2
AL,Alabama,South,4903185,6999770,4732829,142760,96526,2049081,2543054,140547,2637734,53.8,41.3,2498157,65.5,4487762,117638,183486,744515,87.6,1424971,167676,823660,2023835,1918491,50.3,3112240,3570930,316600,922428,1099703,142596,921996,994795,142513,341367,270061,34554,44.2,2059730,54,646262,76,4186880,4732382,113029,167183,2637329,63,2023760,48.3,2165071,51.7,922417,1099640,142587,,134615,6.2,113302,9.1,134294,6.5,85455,13.2
AR,Arkansas,South,3017804,4256950,3161353,141061,104757,1330606,1726842,100890,1717255,56.9,43.8,1597614,68.9,2946821,127147,183675,454194,86.7,891334,170140,812578,1322136,1228324,53,1850240,2204910,201800,600119,720551,99028,599047,627870,98513,218469,156083,14278,47.1,1326144,57.2,389248,74.3,2557248,3156064,123416,166466,1713409,67,1320747,51.6,1418932,55.5,600110,719173,98909,,95994,6.7,75840,10.1,95807,7.2,56253,14.4
AZ,Arizona,West,7278717,10410270,8578327,143023,117855,3396918,4869225,296712,4410454,60.6,48.6,4096897,72.7,7992744,141753,184629,1180524,90.2,2499155,190974,795507,3534767,3276434,58.1,4157500,5776170,476600,1475266,2052456,286824,1474668,1794787,286406,502383,486259,46319,52.5,3560362,63.1,1037400,79.3,6206060,8577175,138206,167744,4409455,71.1,3534615,57,3818710,61.5,1475241,2052331,286585,,234894,6.1,196536,10.1,234139,6.5,152772,14.7
CA,California,West,39512223,61020085,52869188,154433,133805,19711065,31240203,1903579,29081847,73.6,55.8,26827054,87.6,48786019,159340,199298,5953476,99.9,11456390,196234,1045200,22053017,20232618,66.1,23053620,35068365,2898100,8662691,13366380,1890376,8637216,11571825,1882827,2398003,2201286,187849,60.5,22095729,72.2,4788426,82,33646265,52738506,156744,181358,29000418,86.2,22004365,65.4,23874573,71,8662260,13318171,1890013,,1381200,5.7,1079731,10.3,1378787,6.2,794340,16.5
CO,Colorado,West,5758736,8677815,7499427,150690,130227,2883078,4334110,276794,3850188,66.9,56.2,3566370,79.3,6962871,154757,192874,780570,92.7,1686560,200206,1030120,3237614,2987782,66.4,3348280,4941435,388100,1322318,1910613,271963,1318657,1664553,270764,344351,349661,24431,60.9,3255488,72.4,718999,85.4,4936061,7479211,151522,175804,3838293,77.8,3229495,65.4,3498319,70.9,1322297,1902516,271938,,279350,7.9,216933,14.2,278762,8.5,171100,23.7
CT,Connecticut,North-East,3565287,5924555,5265418,166173,147686,1892190,3162808,209168,2781466,78,64.3,2571627,90.6,4870335,171621,208769,648116,99.9,1351607,214458,940041,2293585,2113031,74.5,2341380,3304875,278300,887988,1404132,208313,887568,1224112,208138,230508,334670,20665,70.1,2320120,81.8,585927,93,3105947,5263621,169469,190749,2780093,89.5,2293164,73.8,2500334,80.5,887757,1403946,208233,,159353,6.3,144307,11.5,159158,6.8,120643,20.5
DC,District of Columbia,,705749,1276265,1040743,180838,147466,381966,626950,31380,515178,73,56.8,489795,84.8,1000324,173192,220967,84142,96.3,199642,228572,1461210,400600,382484,66.2,486880,731385,58000,157213,242593,35167,157147,224563,35146,39793,32013,2545,61.7,417113,72.2,74396,85.2,609754,1040648,170667,209308,515060,84.5,400551,65.7,435196,71.4,157207,242553,35164,,20693,4.7,15012,9.1,20646,4.9,11016,14.8
DE,Delaware,South,973764,1618635,1268810,166225,130300,478217,737566,51555,664438,68.2,54.1,622834,80.9,1186725,154082,210160,189030,99.9,386662,204685,856847,526517,491298,63.8,638140,911895,68600,210089,315653,51062,209967,280564,51017,68450,89672,9315,59.3,542032,70.4,167705,88.8,839807,1268576,151056,192739,664250,79.1,526472,62.7,577241,68.7,210078,315619,51053,,37414,6.4,33511,10.4,37360,6.8,27237,16.2
FL,Florida,South,21477737,34307395,27897250,159735,129889,10259692,16310153,1227187,14669594,68.3,53.4,13832391,80.2,26353688,152794,198909,4395142,97.7,9206867,204718,762838,11477770,10798219,62.6,13272760,19178835,1855800,4474232,6963491,1209133,4472540,6285891,1207602,1857531,1776136,199786,59,11995655,69.5,3851454,85.6,18696028,27888121,149166,183501,14661424,78.4,11476801,61.4,12674927,67.8,4473521,6963238,1208341,,892426,7,798104,11.2,890970,7.4,642853,16.6
